,Dt_Customer_tmp,age,Year_Birth,Dt_Customer,Year_Birth,holiday
0,9-,64,1957,04-09-2012,1957,0
1,3-,67,1954,08-03-2014,1954,0
2,8-,56,1965,21-08-2013,1965,0
3,2-,37,1984,10-02-2014,1984,0
4,1-,40,1981,19-01-2014,1981,0
5,9-,54,1967,09-09-2013,1967,0
6,1-,50,1971,13-11-2012,1971,0
7,5-,36,1985,08-05-2013,1985,0
8,6-,47,1974,06-06-2013,1974,0
9,3-,71,1950,13-03-2014,1950,0
10,1-,38,1983,15-11-2013,1983,0
11,1-,45,1976,13-11-2012,1976,0
12,1-,62,1959,15-11-2013,1959,0
13,1-,69,1952,15-11-2013,1952,0
14,0-,34,1987,10-10-2012,1987,0
15,1-,75,1946,24-11-2012,1946,0
16,2-,41,1980,24-12-2012,1980,0
17,8-,75,1946,31-08-2012,1946,0
18,3-,72,1949,28-03-2013,1949,0
19,1-,36,1985,03-11-2012,1985,0
20,8-,39,1982,08-08-2012,1982,0
21,1-,42,1979,06-01-2013,1979,0
22,2-,72,1949,23-12-2012,1949,0
23,1-,67,1954,11-01-2014,1954,0
24,3-,70,1951,18-03-2013,1951,0
25,1-,52,1969,02-01-2013,1969,0
26,5-,45,1976,27-05-2013,1976,0
27,2-,35,1986,20-02-2013,1986,0
28,5-,32,1989,31-05-2013,1989,0
29,1-,56,1965,22-11-2013,1965,0
30,5-,32,1989,22-05-2014,1989,0
31,5-,58,1963,11-05-2013,1963,0
32,0-,51,1970,10-10-2012,1970,0
33,0-,69,1952,29-10-2012,1952,0
34,2-,75,1946,20-02-2013,1946,0
35,8-,70,1951,29-08-2013,1951,0
36,2-,51,1970,31-12-2013,1970,0
37,9-,45,1976,02-09-2013,1976,0
38,2-,48,1973,11-02-2014,1973,0
39,2-,78,1943,01-02-2013,1943,0
40,4-,41,1980,29-04-2013,1980,0
41,3-,36,1985,12-03-2013,1985,0
42,2-,64,1957,24-12-2012,1957,0
43,1-,62,1959,05-11-2013,1959,0
44,0-,46,1975,02-10-2013,1975,0
45,6-,45,1976,28-06-2014,1976,0
46,1-,25,1996,09-11-2012,1996,0
47,5-,53,1968,24-05-2013,1968,0
48,1-,70,1951,01-01-2014,1951,0
49,1-,67,1954,08-11-2012,1954,0
50,5-,64,1957,12-05-2014,1957,0
51,8-,57,1964,11-08-2012,1964,0
52,1-,44,1977,02-01-2013,1977,0
53,6-,44,1977,07-06-2014,1977,0
54,6-,43,1978,12-06-2013,1978,0
55,1-,66,1955,19-11-2012,1955,0
56,4-,55,1966,02-04-2013,1966,0
57,4-,33,1988,28-04-2014,1988,0
58,6-,39,1982,17-06-2013,1982,0
59,3-,53,1968,03-03-2014,1968,0
60,7-,39,1982,04-07-2013,1982,0
61,9-,46,1975,07-09-2012,1975,0
62,2-,69,1952,18-02-2013,1952,0
63,6-,70,1951,11-06-2013,1951,0
64,2-,73,1948,06-12-2013,1948,0
65,5-,50,1971,21-05-2013,1971,0
66,5-,54,1967,11-05-2014,1967,0
