v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,group,y
1,1,1,1,1,1,1,1,1,0,0,453.521369
1,1,1,1,1,1,1,1,1,1,0,151.9191912
1,1,0,1,0,1,1,0,1,0,0,-141.6669911
1,0,1,1,1,1,0,0,0,1,0,-227.2454744
1,0,0,1,0,0,0,1,0,0,0,-130.7527901
1,1,0,0,0,1,0,0,0,1,0,-204.0912045
1,1,1,0,0,0,0,0,1,0,0,-288.2558409
1,1,1,1,1,1,1,0,1,0,0,63.98671518
1,1,1,0,0,1,1,0,1,1,0,-133.6297825
1,0,0,1,0,1,1,1,1,1,0,121.895173
1,0,0,1,1,0,0,1,0,1,0,53.67509804
1,1,0,1,1,1,0,1,0,1,0,266.5651448
1,0,0,0,1,0,1,1,0,0,0,121.9979449
1,0,0,0,0,1,0,1,0,1,0,-104.2014478
1,1,0,1,0,1,1,1,1,1,0,-10.20033489
1,1,0,1,0,1,0,0,0,0,0,-78.30690456
1,1,1,1,0,1,1,1,0,1,0,119.2522399
1,0,0,1,1,1,1,0,0,1,0,98.40949421
1,1,0,1,0,0,0,0,1,0,0,-326.0531684
1,0,0,0,0,1,0,0,1,0,0,-191.3294175
1,1,0,0,0,0,1,1,1,0,0,123.6238208
1,1,0,0,1,1,1,0,0,0,0,107.7365961
1,0,1,1,0,0,0,1,0,1,0,-103.5606894
1,0,0,1,0,0,0,1,0,1,0,-155.8478109
1,1,1,1,0,0,0,0,0,0,0,-106.396586
1,0,0,1,1,0,1,0,1,1,0,10.31484652
1,0,1,0,0,0,0,0,0,1,0,-189.7586415
1,0,1,0,1,0,1,1,0,0,0,129.4440409
1,0,0,0,0,1,0,1,1,1,0,102.5946743
1,0,0,1,0,0,1,0,0,1,0,49.20231945
1,1,1,1,0,1,0,0,1,0,0,-102.081248
1,0,0,0,0,1,0,0,0,1,0,-137.4166005
1,0,1,1,0,0,1,0,0,0,0,-150.4268539
1,0,1,1,1,0,1,0,0,1,0,-41.88914108
1,0,1,0,1,0,0,0,0,0,0,-104.0706045
1,1,1,1,0,0,1,0,0,0,0,-57.2325364
1,1,1,1,1,1,1,1,0,1,0,169.4750542
1,1,1,1,1,0,1,0,1,1,0,39.13171374
1,1,1,0,0,1,0,0,1,0,0,-412.4867899
1,1,0,1,1,0,0,0,0,0,0,-137.540433
1,0,0,1,0,0,1,1,0,1,0,-5.949281011
1,0,0,1,0,1,0,0,1,1,0,-116.3119679
1,1,1,1,1,1,0,1,0,1,0,-85.13851142
1,0,0,1,0,0,1,1,0,1,0,2.221450316
1,0,0,1,0,0,0,1,1,0,0,-60.00801608
1,1,0,1,0,1,1,1,1,1,0,17.73238867
1,0,0,1,0,0,0,1,0,1,0,-108.0437721
1,1,0,0,0,0,0,0,1,1,0,-251.5795759
1,1,1,0,1,1,0,0,1,0,0,-10.49875865
1,1,0,1,0,0,1,1,1,0,0,140.349359
1,0,0,1,1,0,1,0,0,0,0,105.7210607
1,0,1,1,1,1,0,0,0,1,0,-171.9256939
1,1,1,0,0,0,0,0,1,0,0,-280.8415857
1,1,1,1,0,1,1,1,0,0,0,-55.59116419
