Income,Kidhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Response,Year_Birth,Dt_Customer
58138.0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1957,04-09-2012
46344.0,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1954,08-03-2014
71613.0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1965,21-08-2013
26646.0,1,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1984,10-02-2014
58293.0,1,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1981,19-01-2014
62513.0,0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1967,09-09-2013
55635.0,0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1971,13-11-2012
33454.0,1,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1985,08-05-2013
30351.0,1,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1974,06-06-2013
5648.0,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1950,13-03-2014
51381.5,1,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1983,15-11-2013
7500.0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1976,13-11-2012
63033.0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1959,15-11-2013
59354.0,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1952,15-11-2013
17323.0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1987,10-10-2012
82800.0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1946,24-11-2012
41850.0,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1980,24-12-2012
37760.0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1946,31-08-2012
76995.0,0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1949,28-03-2013
33812.0,1,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1985,03-11-2012
37040.0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1982,08-08-2012
